日期,小时,城市ID,城市名称,pid,省份,avg_onload,avg_domReady,avg_firstPaint,avg_dnsLookup,avg_firstByte,avg_responseTime,standard_deviation,pv
20140611,16,619900,NULL,610000,陕西,4125,5648,114,0,529,439,21112,776
20140611,16,620100,兰州,620000,甘肃,13328,5962,98,0,617,562,101897,409
20140611,16,621000,庆阳,620000,甘肃,3867,5452,46,0,1071,365,3344,49
20140611,16,652200,哈密,650000,新疆,2438,8136,0,43,1809,1741,2811,53
20140611,16,653100,喀什,650000,新疆,6868,7278,3,0,382,288,20288,30
20140611,16,654000,伊犁,650000,新疆,2269,4693,285,0,635,543,4346,183
20140611,16,710100,台湾,710000,台湾,1352,3342,81,0,814,121,1017,2
20140611,16,130500,邢台,130000,河北,9980,2888,183,0,538,436,62500,798
20140611,16,140600,朔州,140000,山西,2757,2334,52,0,534,437,5660,75
20140611,16,150700,呼伦贝尔,150000,内蒙古,7053,2696,16,0,349,318,41302,216
20140611,16,152500,锡林郭勒盟,150000,内蒙古,2445,2183,7,0,447,381,5141,76
20140611,16,210400,抚顺,210000,辽宁,3828,9160,98,1,1251,1162,8424,131
20140611,16,211300,朝阳,210000,辽宁,1484,2089,35,0,510,474,2941,89
20140611,16,220500,通化,220000,吉林,5796,2592,68,0,666,559,12830,126
20140611,16,230600,大庆,230000,黑龙江,8001,5386,90,0,776,705,53266,198
20140611,16,320600,南通,320000,江苏,8115,2786,44,0,527,294,59363,341
20140611,16,330700,金华,330000,浙江,7343,2478,98,0,465,-778,54016,1022
20140611,16,340800,安庆,340000,安徽,1976,1724,139,0,333,315,4116,75
20140611,16,341700,池州,340000,安徽,3315,1955,292,1,396,353,5918,116
20140611,16,350900,宁德,350000,福建,6501,2977,55,14,538,467,28928,137
20140611,16,359900,NULL,350000,福建,7922,2663,108,0,432,386,90918,837
20140611,16,360100,南昌,360000,江西,5681,2571,97,1,506,369,23765,547
20140611,16,361000,抚州,360000,江西,1587,2439,229,4,888,632,2273,21
20140611,16,370200,青岛,370000,山东,4324,2794,67,4,595,547,17498,1412
20140611,16,371100,日照,370000,山东,3277,1711,66,0,402,326,9898,517
20140611,16,410600,鹤壁,410000,河南,2535,2864,20,0,579,546,6169,215
20140611,16,411500,信阳,410000,河南,5834,3166,77,0,624,-2036,37004,194
20140611,16,420700,鄂州,420000,湖北,1824,1831,97,0,305,273,3484,69
20140611,16,430800,张家界,430000,湖南,6232,1739,0,0,221,202,13592,45
20140611,16,440900,茂名,440000,广东,4143,5210,12,0,817,722,12709,318
20140611,16,441800,清远,440000,广东,4295,3567,382,0,422,392,16743,313
20140611,16,449900,NULL,440000,广东,9011,3435,102,0,554,489,98041,3180
20140611,16,450100,南宁,450000,广西,4321,2908,136,4,631,411,18434,1626
20140611,16,451000,百色,450000,广西,9238,4596,223,1,547,524,61204,94
20140611,16,460200,三亚,460000,海南,1266,2657,3722,0,378,262,1989,67
20140611,16,510700,绵阳,510000,四川,3255,4754,149,0,629,578,7246,145
20140611,16,511600,广安,510000,四川,6372,2898,250,0,248,186,15952,50
20140611,16,513400,凉山,510000,四川,1458,1949,2,0,192,171,2759,27
20140611,16,522600,黔东南,520000,贵州,3053,2766,347,0,575,523,10394,133
20140611,16,530900,临沧,530000,云南,3212,5044,527,0,564,510,5631,109
20140611,16,539900,NULL,530000,云南,5537,3390,103,1,543,455,42615,676
20140611,16,610800,榆林,610000,陕西,4168,3418,98,1,545,479,11752,153
20140611,16,620900,酒泉,620000,甘肃,1967,3375,0,0,576,525,2035,13
20140611,16,629900,NULL,620000,甘肃,4689,5293,85,0,500,364,20297,564
20140611,16,630100,西宁,630000,青海,4659,5582,426,0,665,595,11384,188
20140611,16,640200,石嘴山,640000,宁夏,8053,7278,0,0,481,454,21641,43
20140611,16,653000,克孜勒苏,650000,新疆,5781,5844,595,0,553,523,7605,15
20140611,16,810100,香港,810000,香港,1408,1731,3,0,414,352,5334,168
20140611,16,130400,邯郸,130000,河北,8771,4543,165,0,424,328,65537,306
20140611,16,140500,晋城,140000,山西,4596,6593,975,2,1989,1789,17651,197
